2021-04-06 22:07:06 botocore.credentials INFO     Found credentials in shared credentials file: ~/.aws/credentials
2021-04-06 22:07:49 root         INFO     {'kinesis_response': {'FailedRecordCount': 0, 'Records': [{'SequenceNumber': '49617093999337153957936505770244877048482308598523756562', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770246085974301923227698462738', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770247294900121537856873168914', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770248503825941152486047875090', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770249712751760767115222581266', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770250921677580381744397287442', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770252130603399996373571993618', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770253339529219611002746699794', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770254548455039225631921405970', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770255757380858840261096112146', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770256966306678454890270818322', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770258175232498069519445524498', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770259384158317684148620230674', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770260593084137298777794936850', 'ShardId': 'shardId-000000000001'}], 'ResponseMetadata': {'RequestId': 'c57efde6-3348-738e-9d99-d9a3cefb7e6d', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c57efde6-3348-738e-9d99-d9a3cefb7e6d', 'x-amz-id-2': '9U2XhlZxQ1ONCj76PVsuz1MVdJlF+TRMTlgjbqtTeNZBXajOpF5OW+3cDwoTX1giuxlwZ7NjlZg8oIJwjD9Vh27pfGpgN42t', 'date': 'Wed, 07 Apr 2021 03:07:49 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '1589'}, 'RetryAttempts': 0}}}
2021-04-06 22:08:25 root         INFO     {'kinesis_response': {'FailedRecordCount': 0, 'Records': [{'SequenceNumber': '49617093999337153957936505770261802009956915812151328786', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770263010935776530441326034962', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770264219861596145070500741138', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770265428787415759699675447314', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770266637713235374328850153490', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770267846639054988958024859666', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770269055564874603587199565842', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770270264490694218216374272018', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770271473416513832845548978194', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770272682342333447474723684370', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770273891268153062103898390546', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770275100193972676733073096722', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770276309119792291362247802898', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770277518045611905991422509074', 'ShardId': 'shardId-000000000001'}], 'ResponseMetadata': {'RequestId': 'fa082bf0-6900-67e6-a2ef-0f99ab4497e4', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fa082bf0-6900-67e6-a2ef-0f99ab4497e4', 'x-amz-id-2': 'H/bLG5JWR/22qC1qSpx6hT1nEBjPnECbPfWNX8GYEKg+7jCxerDc8mUS18wMuD/fnGGHLhQVHlrPY7qmGG4CFzUQh+/BIY3a', 'date': 'Wed, 07 Apr 2021 03:08:25 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '1589'}, 'RetryAttempts': 0}}}
2021-04-06 22:09:00 root         INFO     {'kinesis_response': {'FailedRecordCount': 0, 'Records': [{'SequenceNumber': '49617093999337153957936505770278726971431523025778901010', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770279935897251137654953607186', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770281144823070752284128313362', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770282353748890366913303019538', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770283562674709981542477725714', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770284771600529596171652431890', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770285980526349210800827138066', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770287189452168825430001844242', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770288398377988440059176550418', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770289607303808054688351256594', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770290816229627669317525962770', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770292025155447283946700668946', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770293234081266898575875375122', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770294443007086513205050081298', 'ShardId': 'shardId-000000000001'}], 'ResponseMetadata': {'RequestId': 'f560a357-5cc6-e019-ad87-87dbf05e655c', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f560a357-5cc6-e019-ad87-87dbf05e655c', 'x-amz-id-2': 'FNC0pF0TXDYAZnQNZXsUJEV5YfLyizuLOz7sV3H7se2WiUHfAav+OZ/yNh/GyWe8jCWqBr8XxlBn0+15jrNu4rDAVDOrzZEF', 'date': 'Wed, 07 Apr 2021 03:09:00 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '1589'}, 'RetryAttempts': 0}}}
2021-04-06 22:09:35 root         INFO     {'kinesis_response': {'FailedRecordCount': 0, 'Records': [{'SequenceNumber': '49617093999337153957936505770295651932906130308125949970', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770296860858725744937300656146', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770298069784545359566475362322', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770299278710364974195650068498', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770300487636184588824824774674', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770301696562004203453999480850', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770302905487823818083174187026', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770304114413643432712348893202', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770305323339463047341523599378', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770306532265282661970698305554', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770307741191102276599873011730', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770308950116921891229047717906', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770310159042741505858222424082', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770311367968561120487397130258', 'ShardId': 'shardId-000000000001'}], 'ResponseMetadata': {'RequestId': 'd502aa13-0c69-8b8b-8de5-8ebc895d23cb', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd502aa13-0c69-8b8b-8de5-8ebc895d23cb', 'x-amz-id-2': '/j91WIzC2mqw1deFTKOnOTwu2c0BmKgb3WAjMCAq+ihnTMEnYfJDZkTQLLLg4Tae3v6jxcZX4LPoI7qNf0D2o7+MzvM3iy75', 'date': 'Wed, 07 Apr 2021 03:09:35 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '1589'}, 'RetryAttempts': 0}}}
2021-04-06 22:10:11 root         INFO     {'kinesis_response': {'FailedRecordCount': 0, 'Records': [{'SequenceNumber': '49617093999337153957936505770312576894380737521753522194', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770313785820200352150928228370', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770314994746019966780102934546', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770316203671839581409277640722', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770317412597659196038452346898', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770318621523478810667627053074', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770319830449298425296801759250', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770321039375118039925976465426', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770322248300937654555151171602', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770323457226757269184325877778', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770324666152576883813500583954', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770325875078396498442675290130', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770327084004216113071849996306', 'ShardId': 'shardId-000000000001'}, {'SequenceNumber': '49617093999337153957936505770328292930035727701024702482', 'ShardId': 'shardId-000000000001'}], 'ResponseMetadata': {'RequestId': 'eb632e53-9932-1b4e-b384-0a80f128dde8', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'eb632e53-9932-1b4e-b384-0a80f128dde8', 'x-amz-id-2': 'mimnMMYt4pZPsF/Hd0uijDuI285lT5ggDLzuP2vNxMmY8LF/gJ862ssUSgnzzIrK3t4nGu5v/LDg0gdvyKFe9TlUegtkiyGQ', 'date': 'Wed, 07 Apr 2021 03:10:11 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '1589'}, 'RetryAttempts': 0}}}
2021-04-06 22:24:00 botocore.credentials INFO     Found credentials in shared credentials file: ~/.aws/credentials
2021-04-06 22:24:00 root         INFO     {'shard_iterators': ['shard_iterators', 'shard_iterators']}
2021-04-06 22:24:39 botocore.credentials INFO     Found credentials in shared credentials file: ~/.aws/credentials
2021-04-06 22:24:40 root         INFO     {'shard_iterators': ['AAAAAAAAAAHcu3+AdVGSLFDVTJ5a0G1H0EYAxG9dvY0XkNg0OuzPAVl+QIfNUUZ/VeiMtymu5HA73Se1J2Qh14dQvJUlZC1UWOWMs1wTpwl0JWq/anhmHjGV81wjWmEyFb/0/5XAiEksCTPiT54tj9qwvGS7Kvys5uhqyDTuPlZWbBLFxJLLKAnQBoCRWex0OO+MztUAl/YNk5IaB6zsIusjwJAi8cxKlk24pW5hNrhlcssuuHIU7Q==', 'AAAAAAAAAAEA/dF7GV7UB6dUsftNPz2VuE2fyYL/yoAyCtaWy4zlzWyJmQmcIsUinnJF2AHfQbz2jH8NktIdmCKqKOYSTvS8QIGb1/Rd6Sq4QsyvCnVYgEjtdwIfucr8Cv1CjaQnasfZ1NomVit3fp4jSBeMhipLGaRaS3PsAtCnHhrS923wnDU51L4re24fveA5qXxIDhw9N86h4zp9oc2Xw4bfAS/36uisIVgcE6W0/9Ah0v4QfQ==']}
2021-04-06 22:32:32 botocore.credentials INFO     Found credentials in shared credentials file: ~/.aws/credentials
